*	Measurement	data	measured	by	REW	V5.20	Beta	4												
*	Source:	Microphone	(E.A.R.S	Gain:	18dB	),	no	input	selected,	L,	volume:	no	control							
*	Format:	256k	Log	Swept	Sine,	1	sweep	at	-8	dBFS	With	no	timing	reference						
*	Dated:	Jan	28,	2019	11.32.59	AM														
*	REW	Settings:																		
*	C-weighting	compensation:	Off																	
*	Target	level:	75	dB																
*	Note:	Really	big	difference	between	R	&	L.	We	had	to	adjust	fit	several	times	to	get	a	good	measurement
*	Measurement:	Bose	QC	35	II	L														
*	Smoothing:	Jan/48	octave																	
*	Frequency	Step:	Jan/96	octave																
*	Start	Frequency:	20,1	Hz																
*																				
*	Freq(Hz)	SPL(dB)	Phase(degrees)																	
3.542,81	111,983	88,061																		
3.568,48	112,453	86,698																		
3.594,34	112,897	85,054																		
3.620,39	113,304	83,227																		
3.646,62	113,678	81,402																		
3.673,05	114,054	79,673																		
3.699,66	114,465	77,804																		
3.726,47	114,878	75,426																		
3.753,48	115,235	72,562																		
3.780,68	115,516	69,513																		
3.808,07	115,732	66,489																		
3.835,67	115,895	63,583																		
3.863,46	116,016	60,839																		
3.891,46	116,102	58,306																		
3.919,66	116,167	56,027																		
3.948,06	116,226	54,016																		
3.976,67	116,295	52,266																		
4.005,49	116,385	50,747																		
4.034,51	116,505	49,373																		
4.063,75	116,661	48,049																		
4.093,19	116,853	46,703																		
4.122,86	117,076	45,267																		
4.152,73	117,328	43,685																		
4.182,82	117,604	41,918																		
4.213,13	117,903	39,927																		
4.243,66	118,223	37,681																		
4.274,42	118,557	35,125																		
4.305,39	118,895	32,202																		
4.336,59	119,229	28,879																		
4.368,01	119,553	25,11																		
4.399,67	119,852	20,861																		
4.431,55	120,106	16,135																		
4.463,66	120,294	10,955																		
4.496,01	120,4	5,396																		
4.528,59	120,407	-0,422																		
4.561,40	120,306	-6,329																		
4.594,46	120,104	-12,129																		
4.627,75	119,819	-17,719																		
4.661,28	119,453	-23,091																		
4.695,06	119,002	-28,142																		
4.729,08	118,48	-32,731																		
4.763,35	117,912	-36,814																		
4.797,87	117,318	-40,401																		
4.832,64	116,709	-43,534																		
4.867,66	116,091	-46,259																		
4.902,93	115,475	-48,624																		
4.938,46	114,87	-50,69																		
4.974,24	114,275	-52,526																		
5.010,29	113,684	-54,185																		
5.046,60	113,097	-55,675																		
5.083,17	112,514	-56,998																		
5.120,00	111,931	-58,193																		
5.157,10	111,347	-59,328																		
5.194,47	110,745	-60,411																		
5.232,11	110,109	-61,325																		
5.270,03	109,441	-61,974																		
5.308,22	108,751	-62,371																		
5.346,68	108,029	-62,549																		
